,image_id,label
0,000001.jpg,1916
1,000002.jpg,1960
2,000003.jpg,5540
3,000004.jpg,3721
4,000005.jpg,5916
5,000006.jpg,2712
6,000007.jpg,5789
7,000008.jpg,4062
8,000009.jpg,2226
9,000010.jpg,426
10,000011.jpg,1859
11,000012.jpg,4953
12,000013.jpg,2503
13,000014.jpg,4486
14,000015.jpg,1261
15,000016.jpg,3158
16,000017.jpg,458
17,000018.jpg,1669
18,000019.jpg,1954
19,000020.jpg,1846
20,000022.jpg,4217
21,000023.jpg,0
22,000024.jpg,5915
23,000025.jpg,4831
24,000026.jpg,6257
25,000028.jpg,2431
26,000029.jpg,2281
27,000030.jpg,5209
28,000031.jpg,5876
29,000032.jpg,192
30,000034.jpg,1096
31,000035.jpg,3543
32,000037.jpg,5580
33,000038.jpg,2868
34,000039.jpg,4109
35,000040.jpg,1429
36,000042.jpg,3365
37,000043.jpg,3372
38,000044.jpg,1422
39,000045.jpg,2693
40,000046.jpg,4029
41,000047.jpg,5873
42,000048.jpg,2806
43,000050.jpg,723
44,000051.jpg,982
45,000052.jpg,2563
46,000054.jpg,5368
47,000055.jpg,3148
48,000056.jpg,385
49,000057.jpg,6326
50,000058.jpg,1915
51,000059.jpg,3970
52,000061.jpg,2214
53,000062.jpg,1023
54,000063.jpg,1050
55,000064.jpg,2408
56,000065.jpg,2042
57,000066.jpg,2507
58,000067.jpg,797
59,000068.jpg,3410
60,000069.jpg,3012
61,000071.jpg,5914
62,000073.jpg,5015
63,000074.jpg,191
64,000076.jpg,136
65,000077.jpg,8
66,000078.jpg,5526
67,000083.jpg,1495
68,000084.jpg,2854
69,000085.jpg,3293
70,000086.jpg,3927
71,000087.jpg,3651
72,000088.jpg,3582
73,000089.jpg,3520
74,000090.jpg,4202
75,000091.jpg,3167
76,000092.jpg,3145
77,000093.jpg,4716
78,000094.jpg,3195
79,000096.jpg,2779
80,000097.jpg,4147
81,000098.jpg,3792
82,000099.jpg,5255
83,000100.jpg,4292
84,000101.jpg,3211
85,000102.jpg,4567
86,000103.jpg,197
87,000104.jpg,2818
88,000105.jpg,1330
89,000106.jpg,3717
90,000107.jpg,5646
91,000108.jpg,3176
92,000109.jpg,2221
93,000110.jpg,3063
94,000112.jpg,3809
95,000113.jpg,550
96,000114.jpg,4615
97,000115.jpg,4320
98,000116.jpg,3151
99,000117.jpg,1783
100,000118.jpg,4397
101,000121.jpg,2452
102,000122.jpg,676
103,000124.jpg,4802
104,000125.jpg,2752
105,000126.jpg,151
106,000129.jpg,42
107,000130.jpg,128
108,000131.jpg,4586
109,000132.jpg,3322
110,000133.jpg,4241
111,000134.jpg,3600
112,000135.jpg,1702
113,000136.jpg,5471
114,000137.jpg,2394
115,000139.jpg,3235
116,000140.jpg,3311
117,000142.jpg,4862
118,000143.jpg,3714
119,000144.jpg,3707
120,000145.jpg,5604
121,000147.jpg,2317
122,000148.jpg,3612
123,000149.jpg,4635
124,000150.jpg,4174
125,000151.jpg,573
126,000152.jpg,2751
127,000153.jpg,2682
128,000154.jpg,4171
129,000155.jpg,537
130,000156.jpg,2783
131,000157.jpg,3418
132,000158.jpg,5596
133,000159.jpg,1632
134,000160.jpg,973
135,000161.jpg,4008
136,000162.jpg,2049
137,000163.jpg,771
138,000164.jpg,5978
139,000165.jpg,185
140,000166.jpg,2820
141,000167.jpg,2120
142,000168.jpg,1668
143,000169.jpg,699
144,000170.jpg,1651
145,000171.jpg,55
146,000172.jpg,4345
147,000173.jpg,4485
148,000174.jpg,3336
149,000175.jpg,2879
150,000176.jpg,4742
151,000177.jpg,5931
152,000179.jpg,2776
153,000180.jpg,4695
154,000181.jpg,1513
155,000183.jpg,1001
156,000185.jpg,3728
157,000187.jpg,1461
158,000188.jpg,110
159,000189.jpg,421
160,000190.jpg,3377
161,000191.jpg,753
162,000192.jpg,5198
163,000193.jpg,1784
164,000194.jpg,5936
165,000195.jpg,2251
166,000197.jpg,1801
167,000198.jpg,476
168,000199.jpg,883
169,000200.jpg,3186
170,000201.jpg,2201
171,000202.jpg,5263
172,000203.jpg,900
173,000204.jpg,4334
174,000205.jpg,3097
175,000207.jpg,4725
176,000208.jpg,564
177,000211.jpg,1236
178,000212.jpg,4269
179,000213.jpg,5469
180,000214.jpg,4065
181,000215.jpg,2933
182,000216.jpg,3027
183,000217.jpg,1350
184,000218.jpg,4119
185,000220.jpg,2791
186,000221.jpg,3096
187,000222.jpg,405
188,000224.jpg,1181
189,000225.jpg,321
190,000226.jpg,1182
191,000230.jpg,1125
192,000231.jpg,427
